City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
113,namdrik,5.5994,168.1028,27.8,80,98,4.36,MH,1689748588
114,ndende,-2.4008,11.3581,24.07,77,100,1.17,GA,1689748588
115,phalodi,27.1333,72.3667,37.85,39,38,1.17,IN,1689748588
116,solvang,34.5958,-120.1377,18.29,77,0,1.54,US,1689748588
117,nova sintra,14.8667,-24.7167,22.48,77,100,3.95,CV,1689748589
118,udachny,66.4167,112.4,22.41,43,74,9.38,RU,1689748589
119,ladozhskaya,45.3081,39.935,26.09,59,10,6.49,RU,1689748589
120,ribeira grande,38.5167,-28.7,21.22,68,40,4.12,PT,1689748589
121,cabo san lucas,22.8909,-109.9124,30.03,71,3,0.89,MX,1689748589
122,villa emilio carranza,19.9667,-96.6,25.87,84,30,2.29,MX,1689748589
123,plettenberg bay,-34.0527,23.3716,10.99,74,100,7.65,ZA,1689748589
124,nipomo,35.0428,-120.476,17.9,91,100,1.54,US,1689748590
125,canutama,-6.5339,-64.3831,24.28,66,67,1.28,BR,1689748590
126,cadale,2.7603,46.3222,26.73,71,20,9.62,SO,1689748590
127,fernie,49.5,-115.0687,12.11,48,6,1.99,CA,1689748440
128,sandnessjoen,66.0217,12.6316,15.06,63,0,2.57,NO,1689748591
129,alofi,-19.0595,-169.9187,21.94,64,41,6.17,NU,1689748592
130,saint-philippe,-21.3585,55.7679,22.28,78,40,6.35,RE,1689748592
131,esuk oron,4.8029,8.2534,25.25,88,98,1.28,NG,1689748592
132,morehead city,34.7229,-76.726,29.0,89,20,5.14,US,1689748386
133,la passe,45.5549,-0.8967,18.88,71,0,1.68,FR,1689748592
134,pokhara,28.2333,83.9833,31.26,54,20,2.27,NP,1689748592
135,el jadid,33.2549,-8.506,23.16,86,11,6.08,MA,1689748592
136,college,64.8569,-147.8028,22.99,56,75,1.54,US,1689748593
137,guerrero negro,27.9769,-114.0611,19.33,86,0,5.21,MX,1689748593
138,daru,-9.0763,143.2092,26.05,76,63,5.18,PG,1689748593
139,belyy yar,53.6039,91.3903,26.94,44,0,2.0,RU,1689748593
140,rocha,-34.4833,-54.3333,2.94,89,26,0.51,UY,1689748593
141,lompoc,34.6391,-120.4579,14.77,95,100,2.06,US,1689748593
142,port douglas,-16.4833,145.4667,23.37,73,16,5.72,AU,1689748593
143,isafjordur,66.0755,-23.124,9.71,78,98,0.8,IS,1689748594
144,roma,43.2128,-75.4557,18.18,95,100,0.0,US,1689748528
145,pocito,-31.6833,-68.5833,8.4,55,100,2.84,AR,1689748594
146,taroa,8.7058,171.2275,28.53,81,100,7.76,MH,1689748594
147,thompson,55.7435,-97.8558,11.09,87,20,1.03,CA,1689748594
148,yekaterinovka,52.0508,44.3451,19.45,62,10,8.03,RU,1689748594
149,nadi,-17.8,177.4167,25.0,69,40,2.57,FJ,1689748548
150,rongelap,11.1635,166.8941,28.59,78,27,5.58,MH,1689748594
151,port lincoln,-34.7333,135.8667,17.47,52,100,7.83,AU,1689748577
152,santiago de surco,-12.15,-77.0167,20.71,82,75,4.63,PE,1689748595
153,kristiansund,63.1115,7.732,12.03,76,75,1.54,NO,1689748595
154,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,56,20,6.0,RU,1689748595
155,shiyan,32.6475,110.7781,29.43,65,100,2.38,CN,1689748595
156,fort bragg,35.139,-79.006,26.91,85,0,4.12,US,1689748528
157,pampa,35.5362,-100.9599,28.65,30,48,3.84,US,1689748383
158,praia,14.9215,-23.5087,25.3,78,75,5.14,CV,1689748595
159,enewetak,11.3474,162.3373,28.83,77,80,6.09,MH,1689748596
160,marlton,39.8912,-74.9218,23.83,90,0,0.0,US,1689748456
161,kingston,17.997,-76.7936,28.53,81,20,5.14,JM,1689748281
162,buala,-8.145,159.5921,27.05,85,96,3.15,SB,1689748596
163,sur,22.5667,59.5289,38.0,39,15,2.07,OM,1689748596
164,masterton,-40.9597,175.6575,12.71,77,12,5.09,NZ,1689748446
165,lorengau,-2.0226,147.2712,28.85,68,36,2.34,PG,1689748597
166,saint-joseph,-21.3667,55.6167,23.59,70,16,6.52,RE,1689748597
167,vlore,40.4667,19.4897,32.78,41,0,1.96,AL,1689748597
168,malvan,16.0667,73.4667,25.33,92,100,9.83,IN,1689748597
169,karasburg,-28.0167,18.75,7.03,87,39,4.0,NA,1689748597
170,tommot,58.9564,126.2925,16.31,98,100,2.3,RU,1689748597
171,keflavik,64.0049,-22.5624,10.24,87,0,4.63,IS,1689748597
172,la ronge,55.1001,-105.2842,13.14,88,40,0.51,CA,1689748597
173,cidade velha,14.9167,-23.6167,25.26,78,75,5.14,CV,1689748597
174,katsuura,35.1333,140.3,27.93,80,3,11.52,JP,1689748598
175,yemetsk,63.4721,41.7941,25.63,38,100,2.65,RU,1689748598
176,carnarvon,-24.8667,113.6333,18.31,57,100,10.21,AU,1689748598
177,mejit,10.2753,170.8646,28.38,82,97,8.22,MH,1689748598
178,ixtapa,20.7,-105.2,24.63,92,94,1.47,MX,1689748598
179,mount pearl,47.5166,-52.7813,21.36,96,100,9.26,CA,1689748598
180,kavieng,-2.5744,150.7967,27.43,78,100,2.67,PG,1689748598
181,sitia,35.2,26.0986,27.29,63,0,8.2,GR,1689748599
182,immingham,53.6124,-0.2222,15.13,60,100,2.06,GB,1689748599
183,illizi,26.4833,8.4667,26.89,22,0,5.74,DZ,1689748599
184,soroti,1.7146,33.6111,23.38,62,68,2.09,UG,1689748599
185,tiksi,71.6872,128.8694,14.0,56,90,7.88,RU,1689748599
186,magadan,59.5667,150.8,20.74,55,94,2.04,RU,1689748599
187,mount isa,-20.7333,139.5,25.87,38,100,2.57,AU,1689748599
188,deqen,29.9618,90.7188,15.05,64,98,1.64,CN,1689748600
189,rundu,-17.9333,19.7667,15.16,28,0,2.38,NA,1689748600
190,yuzhno-kurilsk,44.0306,145.8556,16.05,88,82,2.42,RU,1689748600
191,kayangel,8.0823,134.7173,27.49,83,100,6.27,PW,1689748600
192,puerto armuelles,8.2833,-82.8667,26.01,89,16,2.18,PA,1689748379
193,vorgashor,67.5833,63.95,24.82,47,60,3.77,RU,1689748600
194,port shepstone,-30.7414,30.455,17.6,76,100,11.67,ZA,1689748600
195,brokopondo,4.75,-55.1667,24.24,89,6,3.56,SR,1689748601
196,askoy,60.4092,5.226,11.68,50,75,2.57,NO,1689748601
197,mount gambier,-37.8333,140.7667,10.36,61,99,3.88,AU,1689748601
198,hawaiian paradise park,19.5933,-154.9731,24.46,99,100,3.09,US,1689748601
199,qaqortoq,60.7167,-46.0333,7.61,99,100,2.53,GL,1689748601
200,moyamba,8.1667,-12.4333,22.9,98,100,0.7,SL,1689748601
201,kutum,14.2,24.6667,29.94,33,36,2.82,SD,1689748601
202,zheleznogorsk-ilimskiy,56.5768,104.1217,24.48,30,6,1.43,RU,1689748602
203,papatowai,-46.5619,169.4708,8.21,88,100,4.69,NZ,1689748602
204,constantia,44.1833,28.65,29.38,65,1,4.93,RO,1689748602
205,bassar,9.25,0.7833,22.2,97,100,1.65,TG,1689748602
206,saipan,15.1355,145.701,31.39,100,20,4.63,MP,1689748602
207,tromso,69.6496,18.957,11.01,87,75,4.12,NO,1689748602
208,aliade,7.2964,8.487,24.75,90,56,3.28,NG,1689748602
209,tazacorte,28.629,-17.9293,22.54,61,75,4.63,ES,1689748602
210,paramonga,-10.6667,-77.8333,18.83,87,83,4.1,PE,1689748603
211,cavelossim,15.1726,73.9419,27.99,86,100,8.17,IN,1689748603
212,chonchi,-42.6128,-73.8092,10.56,98,100,1.3,CL,1689748603
213,newnham,-41.3833,147.1333,8.53,53,11,1.54,AU,1689748603
214,rio grande,-32.035,-52.0986,1.08,69,5,3.43,BR,1689748603
215,bacabal,-4.2917,-44.7917,21.38,89,85,0.75,BR,1689748603
216,berezovyy,51.6667,135.7,35.06,26,97,2.76,RU,1689748603
217,ingeniero jacobacci,-41.3427,-69.5448,2.4,78,100,1.07,AR,1689748603
218,ahvaz,31.3203,48.6693,42.97,14,0,1.03,IR,1689748498
219,hamilton,39.1834,-84.5333,22.16,95,75,1.54,US,1689748588
220,pasuquin,18.3328,120.6177,30.97,74,40,3.09,PH,1689748604
221,cockburn town,21.4612,-71.1419,28.5,83,17,6.88,TC,1689748462
222,codrington,-38.2667,141.9667,9.58,70,17,4.46,AU,1689748604
223,gharo,24.7424,67.5856,33.12,63,100,7.95,PK,1689748604
224,charters towers,-20.1,146.2667,24.87,33,19,6.14,AU,1689748604
225,kita,13.0349,-9.4895,24.6,84,15,1.1,ML,1689748604
